                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.3549,                 1.0269,                 1.1076,                0.67616,                0.66894,                0.70291,                0.38492,                 1.4921,                 1.0963,                 1.1721,              0.0015446,              0.0015446,              0.0015446
                     94,                 1.3772,                 1.0236,                 1.1158,                0.69327,                0.66927,                0.71339,                0.38111,                 1.5367,                 1.0829,                 1.1943,              0.0015397,              0.0015397,              0.0015397
                     95,                 1.3659,                 1.0333,                 1.1152,                0.68942,                0.66341,                0.71378,                0.39052,                 1.5011,                 1.0708,                 1.1881,              0.0015347,              0.0015347,              0.0015347
                     96,                 1.3541,                 1.0151,                 1.1055,                0.68916,                0.67447,                0.71224,                 0.3876,                 1.5082,                 1.0638,                 1.1946,              0.0015298,              0.0015298,              0.0015298
                     97,                 1.3638,                 1.0092,                 1.1168,                0.69536,                0.65106,                 0.7081,                0.38524,                 1.5014,                 1.0804,                 1.1771,              0.0015248,              0.0015248,              0.0015248
                     98,                 1.3577,                 1.0181,                 1.1157,                0.69427,                0.67317,                0.72029,                0.39219,                 1.4957,                 1.0757,                 1.1725,              0.0015199,              0.0015199,              0.0015199
                     99,                 1.3604,                 1.0586,                  1.121,                0.69863,                0.66265,                0.71201,                0.38337,                 1.4954,                 1.1006,                 1.1818,              0.0015149,              0.0015149,              0.0015149
                    100,                 1.3621,                 1.0188,                 1.1119,                0.70115,                0.65691,                0.70895,                0.38954,                 1.4976,                 1.0823,                 1.1702,              0.0015099,              0.0015099,              0.0015099
                    101,                 1.3467,                0.99727,                 1.1144,                 0.6941,                0.66633,                0.71776,                0.39049,                 1.4957,                 1.0652,                 1.1794,               0.001505,               0.001505,               0.001505
                    102,                 1.3452,                 1.0091,                 1.1066,                0.68089,                0.67585,                0.71801,                0.39155,                 1.5003,                  1.063,                 1.1863,              0.0015001,              0.0015001,              0.0015001
                    103,                 1.3664,                 1.0318,                 1.1267,                0.69074,                0.67623,                0.71377,                0.38785,                   1.51,                 1.0703,                 1.1884,              0.0014951,              0.0014951,              0.0014951
                    104,                 1.3588,                 1.0223,                 1.1169,                0.67756,                0.67837,                0.71655,                 0.3919,                 1.4949,                 1.0606,                 1.1826,              0.0014901,              0.0014901,              0.0014901
                    105,                 1.3579,                 1.0222,                  1.108,                0.68345,                0.67827,                0.70398,                0.37692,                 1.5249,                  1.086,                 1.1996,              0.0014852,              0.0014852,              0.0014852
                    106,                 1.3648,                 1.0141,                 1.1106,                0.69316,                0.67187,                0.71322,                0.38991,                    1.5,                 1.0628,                 1.1838,              0.0014803,              0.0014803,              0.0014803
                    107,                 1.3521,                 1.0238,                 1.1131,                0.70396,                0.65422,                0.70223,                0.38426,                 1.4746,                 1.0962,                 1.1683,              0.0014753,              0.0014753,              0.0014753
                    108,                 1.3531,                 1.0006,                 1.1033,                 0.7075,                0.66959,                0.72373,                0.39303,                 1.5131,                 1.0547,                 1.1818,              0.0014703,              0.0014703,              0.0014703
                    109,                 1.3612,                 1.0168,                 1.1147,                0.68194,                0.69041,                0.72031,                 0.3923,                 1.4894,                  1.057,                 1.1811,              0.0014654,              0.0014654,              0.0014654
                    110,                  1.345,                 1.0055,                 1.1073,                0.68172,                0.67773,                 0.7174,                0.39493,                 1.4704,                 1.0669,                 1.1764,              0.0014605,              0.0014605,              0.0014605
                    111,                 1.3571,                 1.0074,                 1.1116,                 0.6786,                0.68112,                0.71246,                0.39143,                 1.4961,                 1.0647,                  1.182,              0.0014555,              0.0014555,              0.0014555
                    112,                 1.3473,                0.99591,                 1.1002,                0.68036,                0.67282,                0.71126,                0.38738,                 1.5065,                 1.0827,                 1.1871,              0.0014505,              0.0014505,              0.0014505
