                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.4649,                 1.9914,                 1.1486,                 1.1185,                0.67684,                0.64293,                0.68842,                0.36756,                0.68702,                0.65626,                0.70215,                0.35077,                 1.5403,                 2.0412,                 1.1442,                 1.1572,               0.001708,               0.001708,               0.001708
                     61,                 1.4618,                 1.9992,                 1.1606,                 1.1257,                0.66245,                0.65756,                 0.6846,                0.35393,                0.68155,                0.67653,                 0.7132,                0.35933,                 1.5756,                 2.0056,                 1.1677,                  1.161,               0.001703,               0.001703,               0.001703
                     62,                 1.4411,                 1.9327,                 1.1218,                 1.1107,                0.67018,                0.66741,                0.69407,                0.37032,                0.68809,                 0.6735,                0.70677,                0.34442,                  1.515,                 2.0687,                 1.1382,                 1.1446,               0.001698,               0.001698,               0.001698
                     63,                 1.4451,                 1.9477,                  1.126,                   1.11,                0.64802,                0.63943,                0.67173,                0.34984,                 0.6612,                0.65244,                0.68835,                0.33641,                 1.5683,                 2.1213,                 1.1708,                 1.1615,              0.0016931,              0.0016931,              0.0016931
                     64,                 1.4567,                 1.9353,                 1.1459,                 1.1217,                0.67999,                0.64748,                0.68959,                0.35953,                0.69057,                0.65756,                0.70254,                0.34244,                 1.5752,                 2.1082,                 1.1569,                  1.162,              0.0016882,              0.0016882,              0.0016882
                     65,                 1.4635,                 1.9647,                 1.1427,                 1.1199,                0.67741,                0.65286,                0.68932,                0.37254,                0.68684,                0.66405,                0.70222,                0.34944,                 1.5199,                 2.0302,                 1.1179,                 1.1496,              0.0016832,              0.0016832,              0.0016832
                     66,                 1.4458,                 1.9576,                 1.1456,                 1.1169,                0.66993,                0.63772,                0.68299,                0.36781,                0.67859,                0.64878,                0.69216,                0.33938,                 1.5038,                 2.0605,                 1.1325,                 1.1361,              0.0016783,              0.0016783,              0.0016783
                     67,                 1.4314,                 1.9358,                 1.1262,                 1.1073,                0.65217,                0.65549,                0.67895,                 0.3629,                0.66268,                0.67209,                0.69463,                0.34676,                 1.5192,                 2.0113,                 1.1481,                 1.1456,              0.0016733,              0.0016733,              0.0016733
                     68,                 1.4592,                 1.9717,                 1.1471,                 1.1166,                0.66653,                0.65626,                0.69122,                0.37863,                0.68118,                0.65431,                0.69833,                 0.3462,                 1.4884,                 2.0263,                 1.1277,                  1.133,              0.0016684,              0.0016684,              0.0016684
                     69,                 1.4468,                 1.9391,                 1.1339,                 1.1144,                0.66736,                0.66114,                0.69773,                0.36978,                0.68247,                 0.6738,                 0.7124,                0.35534,                 1.5304,                 2.0366,                 1.1273,                 1.1528,              0.0016634,              0.0016634,              0.0016634
                     70,                 1.4463,                 1.9468,                 1.1322,                 1.1136,                0.67334,                0.65984,                0.69372,                0.36386,                0.68761,                0.67382,                0.70776,                0.35211,                 1.5516,                 2.0621,                 1.1353,                 1.1453,              0.0016585,              0.0016585,              0.0016585
                     71,                 1.4309,                 1.9409,                 1.1253,                 1.1088,                0.66027,                0.65528,                0.68979,                0.37483,                0.66628,                0.65967,                0.68852,                0.32996,                  1.509,                 2.1941,                  1.141,                 1.1383,              0.0016535,              0.0016535,              0.0016535
                     72,                 1.4424,                 1.9463,                 1.1112,                 1.1075,                 0.6497,                   0.68,                0.69071,                 0.3691,                 0.6615,                0.69236,                0.70577,                0.35521,                 1.5388,                 2.0159,                 1.1284,                  1.139,              0.0016485,              0.0016485,              0.0016485
                     73,                 1.4377,                  1.942,                 1.1324,                 1.1098,                0.68183,                0.65717,                0.70148,                0.36974,                0.68652,                0.67707,                0.72251,                0.36538,                 1.5491,                 1.9885,                 1.1093,                 1.1483,              0.0016436,              0.0016436,              0.0016436
